Name,RA,Dec,Vsys
HIPASSJ1300-12, 13:00:17.2, -12:20:48,1580
HIPASSJ1300-13, 13:00:52.9, -13:26:59,2554
HIPASSJ1300-13B, 13:00:58.0, -13:31:27,1309
HIPASSJ1300-15a, 13:00:26.3, -15:17:00,4921
HIPASSJ1300-15b, 13:00:43.5, -15:42:56,1380
HIPASSJ1301-13b, 13:00:56.3, -13:56:43,2645
HIPASSJ1302-11a, 13:02:04.1, -11:22:42,1336
HIPASSJ1302-11b, 13:02:16.2, -11:14:08,2708
HIPASSJ1302-11c, 13:02:35.6, -11:38:07,3477
HIPASSJ1302-14a, 13:02:12.8, -14:58:11,4856
HIPASSJ1302-14b, 13:02:03.3, -14:52:58,1347
HIPASSJ1311-12, 13:11:58.1, -12:03:52,2116
HIPASSJ1312-15, 13:12:36.2, -15:52:43,2953
HIPASSJ1313-15, 13:13:34.3, -15:25:55,2503
HIPASSJ1316-10, 13:17:01.9, -10:46:12,2844
HIPASSJ1317-13, 13:17:13.3, -13:09:15,6902
HIPASSJ1319-12, 13:18:51.0, -12:36:14,2987
HIPASSJ1320-12, 13:20:20.2, -12:34:18,1431
HIPASSJ1320-14, 13:20:18.8, -14:27:42,2750
HIPASSJ1321-12a, 13:20:59.7, -12:28:16,2393
HIPASSJ1321-12b, 13:21:19.6, -13:02:33,1323
HIPASSJ1321-13, 13:21:49.1, -13:12:24,2903
HIPASSJ1259-19, 12:59:56.3, -19:24:47,825
HIPASSJ1303-17a, 13:03:11.5, -17:22:33,2964
HIPASSJ1303-17b, 13:03:16.7, -17:25:23,742
HIPASSJ1306-17, 13:06:18.4, -17:30:53,1470
HIPASSJ1308-16, 13:07:56.6, -16:41:21,958
HIPASSJ1309-16, 13:09:44.1, -16:36:08,2569
HIPASSJ1312-15, 13:12:36.2, -15:52:43,2953
HIPASSJ1312-17, 13:12:35.4, -17:32:33,2763
HIPASSJ1313-20, 13:13:05.1, -19:58:37,2757
HIPASSJ1314-21, 13:14:13.7, -21:36:37,2993
HIPASSJ1315-17, 13:15:12.8, -17:58:00,2771
HIPASSJ1316-20, 13:16:18.0, -20:41:55,2889
HIPASSJ1317-16, 13:16:58.5, -16:38:05,1742
HIPASSJ1318-21, 13:18:54.8, -21:02:21,670
HIPASSJ1324-24,13:24:03.50,-24:39:49.90,2012
HIPASSJ1324-21,13:24:32.70,-21:08:12.60,2534
HIPASSJ1325-21,13:25:18.50,-21:08:03.00,1731
HIPASSJ1330-24,13:30:10.70,-24:08:40.10,4941
ESO509-G040,13:31:15.70,-25:09:04.59,7912
ESO509-G059,13:33:48.60,-24:45:25.34,4664
ESO509-G065,13:34:40.10,-23:47:26.07,7844
HIPASSJ1335-24,13:35:41.40,-24:04:25.70,2708
ESO509-G078,13:36:10.00,-23:47:17.05,11335
ESO509-G085,13:38:01.20,-22:55:29.59,6982
NGC5260,13:40:19.90,-23:51:23.85,6502
LEDA803356,13:41:01.90,-23:13:06.28,6927
HIPASSJ1342-19,13:42:44,-19:31:41,1425
HIPASSJ1249+04, 12:49:15.8, +04:39:27,2670
HIPASSJ1250+05, 12:49:57.9, +05:18:41,654
HIPASSJ1253+04, 12:53:14.4, +04:27:47,716
HIPASSJ1255+02, 12:55:15.5, +02:53:48,2780
HIPASSJ1255+04a, 12:55:49.1, +04:00:50,709
HIPASSJ1255+04b, 12:55:48.9, +04:18:15,760
HIPASSJ1255+08, 12:55:03.7, +08:03:56,2799
HIPASSJ1303+03, 13:03:05.9, +03:59:31,2863
HIPASSJ1303+07, 13:03:14.7,+07:48:08,2925
HIPASSJ1311+03, 13:11:23.2, +03:24:41,3035
HIPASSJ1312+03, 13:12:08.3, +03:07:07,8300
HIPASSJ0945-48,09:45:38.5,-48:09:38,879
HIPASSJ0949-47b,09:49:16.5,-47:55:13,1926
HIPASSJ1012-47,10:12:19.9,-47:17:41,2527
HIPASSJ0949-47a,09:49:44.0,-47:10:58,5382
HIPASSJ0945-46,09:45:56.4,-46:43:39,2707
HIPASSJ0949-45,09:49:42.2,-45:42:37,5304
HIPASSJ1012-45,10:12:32.2,-45:14:13,4116
HIPASSJ1007-45,10:06:55.9,-45:02:48,3901
HIPASSJ1005-44a,10:05:08.9,-44:46:33,3827
HIPASSJ0948-44,09:48:39.9,-44:46:22,7899
HIPASSJ1005-44b,10:05:52.5,-44:13:39,3329
HIPASSJ1001-43,10:01:23.7,-43:45:34,3550
HIPASSJ1009-43b,10:09:27.80,-43:18:56,4598
